Hombres Probabilidad,Hombres Afrodescendientes,Mujeres,Mujeres Afrodescendientes,Real
0.6129152857724287,1.0,0.5487463981816144,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
0.5700778517720084,1.0,0.5919976200974364,1.0,1
1.0,1.0,1.0,1.0,1
0.5700778517720084,1.0,0.5919976200974364,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
0.5700778517720084,1.0,0.5919976200974364,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
0.5700778517720084,1.0,0.5919976200974364,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
0.5700778517720084,1.0,0.5919976200974364,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
0.5700778517720084,1.0,0.5919976200974364,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
0.5700778517720084,1.0,0.5919976200974364,1.0,1
1.0,1.0,1.0,1.0,1
0.5700778517720084,1.0,0.5919976200974364,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
0.5700778517720084,1.0,0.5919976200974364,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
0.5700778517720084,1.0,0.5919976200974364,1.0,1
1.0,1.0,1.0,1.0,1
0.5700778517720084,1.0,0.5919976200974364,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1
0.5700778517720084,1.0,0.5919976200974364,1.0,1
1.0,1.0,1.0,1.0,1
0.6129152857724287,1.0,0.5487463981816144,1.0,1
1.0,1.0,1.0,1.0,1
